AK,Aleutians East Borough,3141,3420
AK,Aleutians West Census Area,5561,5232
AK,Anchorage Municipality,291826,291247
AK,Bethel Census Area,17013,18666
AK,Bristol Bay Borough,997,844
AK,Chugach Census Area,,7102
AK,Copper River Census Area,,2617
AK,Denali Borough,1826,1619
AK,Dillingham Census Area,4847,4857
AK,Fairbanks North Star Borough,97581,95655
AK,Haines Borough,2508,2080
AK,Hoonah-Angoon Census Area,2150,2365
AK,Juneau City and Borough,31275,32255
AK,Kenai Peninsula Borough,55400,58799
AK,Ketchikan Gateway Borough,13477,13948
AK,Kodiak Island Borough,13592,13101
AK,Kusilvak Census Area,7459,8368
AK,Lake and Peninsula Borough,1631,1476
AK,Matanuska-Susitna Borough,88995,107081
AK,Nome Census Area,9492,10046
AK,North Slope Borough,9430,11031
AK,Northwest Arctic Borough,7523,7793
AK,Petersburg Borough,3815,3398
AK,Prince of Wales-Hyder Census Area,5559,5753
AK,Prince of Wales-Outer Ketchikan Census Area,,
AK,Sitka City and Borough,8881,8458
AK,Skagway Municipality,968,1240
AK,Skagway-Hoonah-Angoon Census Area,,
AK,Southeast Fairbanks Census Area,7029,6808
AK,Valdez-Cordova Census Area,9636,
AK,Wrangell City and Borough,2369,2127
AK,Wrangell-Petersburg Census Area,,
AK,Yakutat City and Borough,662,662
AK,Yukon-Koyukuk Census Area,5588,5343
